	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C
NG_000012.2	10208	2466	6696	3883	2745	2186	2569.83	2343.67	2312	3754	2774	2614	1563	4858.72	15477.89	22211.28	8646	8418.58	7526.27	2059.8	3101.2	2444.23	481.33	3108	3686	4024	3591	2914	1174	856.84	842	793	374	12298.96
NG_000017.2	536.32	130.68	461.17	55	62	51	290.99	132	31	140	293	337	167	448.96	832.18	675.05	1291.01	956.19	792	169	125	583	43	109.08	132.02	243.51	206.99	148	57	38	237	318.76	78.45	695.99
NG_002690.1	15014	3290	8483	21479	8947	5339	9882.93	5521	6778	10369	9541	8445	7681	10152	1309	574	16219.98	14252.75	13702.36	6550.98	3473.85	3285	6349	10981	8326	13849	14544	5089.75	1776.02	916	2334	5214	4111	1803.57
NG_005905.2	1243.06	431.55	849.14	399	104	83	48	108.12	131.99	190.99	258.8	236.07	166.9	276.72	153	44	405	518	389	42	76	286	1292	220.28	187.98	338.88	321.02	3	1	7	23.54	12	20	15.33
NG_006987.1	67	107	34	7	16	182	1123	172	61	3	32	22	23	25	5	0	39	41	42	89	2690.4	57	565.01	78	47	22	42	114	16	92	2592.55	2429	2097	95.08
NG_006988.2	77	125	32	632.5	180	104	68	148.97	162	685	3723.75	3901.84	2164.66	4681	2205	1038	2912.79	3447.72	2314.24	2627.75	356	2275	90	27	478	497	741	326	194	648	65	343	168	43
NG_007009.1	8040.56	6181.18	3914.97	6852.84	1861.89	1475.19	398	29	6708.43	11076.64	9901	7321	4829	7120.15	1565.45	631	9283	8295	6219	374	18299.18	11717	4067	1123	41	68	0	3894	1618	85	4380	16423.22	16333.87	25
NG_007066.1	699	220	525	42.69	20.98	9.96	23	29.77	28	19	1503.07	1275.37	855.38	100.11	75.41	71.33	106	80	112	254	28	684	96	56	99	63	53	22.97	2.51	18	259	204.15	68.49	520
NG_007077.2	1013.82	226.13	900.47	1101.37	729.87	802.86	28	9	22	19	16	29	20	52.45	4	1.47	14	16	11	34	8	0	62	42	28	27	23	53	95	23	185	251	21.93	46
NG_007083.2	83	96	59	24	1	42	24.71	39.58	591	2111	1019.92	598	405	309.27	67.99	15	41	49	39	36.8	10	5	35	34.73	340	481	531	3	0	572.73	124	96.49	21.52	1
NG_007085.2	490	88	201	1316	1080	524	5588	80	13333	9957	70	95	22	512	984	952	2778.03	2928.75	2114.31	2137.25	884.42	8575	1890	897.01	729	799	1135	356	211	7440	1213	4054	2278	5087
NG_007088.1	2	6	2	0	0	20	15.66	5	0	0	50	99	0	2	0	0	12	15	13	50	16	0	7	12	3	4	10	97	20	11	22	0	4	3
NG_007092.2	1279.13	481.47	1146.12	18	56	86	90.48	37	237	256	75	39	71	554	723	304	356.96	392.98	324.62	1543	264	32	613.36	163	72	56	136	230	50	74	1364	63	876	25
NG_007093.3	7635.5	1969.53	5324.07	1130.43	587.14	370.24	8482.79	82	1466	6244	783.72	420.87	344.96	595	1036	507	10287	10036	10132	675	2739.67	1520	146	130	11680	15336	11361	18	12	903	697	24	7.08	18
NG_007097.2	712	237	557	5042.31	3661.52	3050.65	189.79	360	4079	6012	33	25	19	833.93	819.09	455.57	784.66	1169.5	1292.66	14855.88	3803	12644	5312	16	1281	1799	1178	9	5	32	9	9024.57	1812.21	2174.55
NG_007098.2	78	64	30	54.44	9.17	6.98	45	25.37	2900	2389.01	1997	1759	1234	272	123	113	1685	1411	1184	97	2145	291	60	222.22	2844.58	2586.64	1413.46	67.71	26.01	94.83	173	42	66	6
NG_007101.2	81	18	21	272.7	76	81	162.16	124.16	956.32	2586.92	2042	2077	893	2122	5635	8580	311.46	532.4	337.72	97	371	196	2	868	2607	2677	2491	22.94	1.01	1088	145	127	145	56
NG_007107.2	3264	999	1534	2115	893	260	2305	3	811	2646	2716	2141	1505	2769	4249	4388	17	9	14	1814	1521	3052	2520	2235	2438.96	2141.45	2095.88	2088	772	3317	651	24	0	2
NG_007109.2	2213	1003	2216	1361	138	39	3642	2347	4374	5932	4042	3645	2567	1141	444	166	1389	1085	1007	2277	1812	1899	151.54	2236	2413	4093	5472	363	412	129	2391	1752	110	5839.43
NG_007110.2	1081	300	689	734	601	189	938	504	331	1010	1039	984	721	1936	3152	3786	1445	1901	1505	1985	931.83	329	1234.75	580	930	954	1198	1285	1195	1286	918	549	398	624
NG_007149.1	844.31	307.47	217.42	5483	2626	720	715	97.45	2450.37	4822.44	6560	4968.87	2911.19	4029	5751	5017	3852.03	3909.44	2309.11	714.93	823	4452.51	334.18	3409	81	87	187	5467.07	3898.15	13393	1304.22	72	26	92
NG_007262.1	100	44	91	1122	781	462	104	70.12	14	32	1103	1115	573	160	71	29	1132.02	988.1	912.57	629	122	158	165	200	796	1051.09	762.9	25	32	21	60	81	123	80.59
NG_007268.1	37.76	29	14	82	11	8	92	16	7	27	36	18	17	270.66	62.27	22.39	2143.33	1032	1093	140	12	19	170	54	44	52	110	22	13	72.48	1487.09	6	15	2
NG_007271.1	781	118	439	1809	789	478	94	29	2831	4053.3	178	113	82	2006	3371	4413	76	89	80	158	86	3519.52	184.87	1498	37	51	69	58	19	56	271	0	29	50
NG_007287.1	13	10	11	7	0	7	331	5	144	419	625	455	320	890	680	657	2196	2303	1815	823	7	2127	553	357	656	1012	451	23	34	0	7	282	174	75.12
NG_007294.1	2822	820	1745	162.96	143.73	463	25	13	127.28	73.61	41	46	33	37	14	6	2011	1954	1585	33	744.1	27	79	29	1308	1522	1090	18	10	10	24	3	0	18
NG_007370.1	7.98	20	5	20	8	17	40	7	14	7	35	10	13	27	17	7	755	730	542	65	55.17	68	76	22	18	10	15	31	17	19	8	8	0	3
NG_007376.1	7940	2464	5554	122	30	125	29	17.24	15	47	39	36	45.79	42.48	5.64	0	289	287	225	137	98	37	117	30	21.22	39	58.71	77	60	60	111.24	17	25	37
NG_007379.2	2743.98	797.11	2325.35	5225.41	1797.1	1424.61	461	1798	2889	4619	2900	2974	1795	235	77	54	4568	4580	4874	73	2761	2425.07	1056.76	1811.44	62	66	125	323	168	3681	88	1171	536	602
NG_007386.2	69	68	22	1248	749	226	68	9	1087	1777	31	36	28	49.45	25.22	33.03	53	31	32	23	79	39	0	250	116	155	124	53	5	746	5	10	9	17.66
NG_007394.1	573	160	511.98	598	358	233	563.31	15	737	654	1182	929	643	674	411	241.86	150	172	99	364	9	43	56	586	1012	1275	1268	44	24	29	36	21	46	23
NG_007397.1	175	168	71	61	80	10	27	3	876.89	2414	167	135	81	1941	263	63	5130	4324.33	5185.67	575	93.1	1660.82	1227	32	510	2225	3006	1963	1491	750	63	77	16	12.91
NG_007418.1	16	1	9	172	9	2	266	5	13	41	259	215	203	34.8	6.32	1.62	68	91	80	5	337	5	25	541.12	331.86	420.4	470.16	0	0	0	6	4	45	6
NG_007455.2	166.35	134	102	75	49	64	29	102.42	74	63	128	123	79	141	33	11	470	716	631	340	192	444	150	135	72	99	122	30.18	36.23	44	571	381	120.44	10
NG_007459.1	3710	1109	3036	13	8	7	14	1290	44	4	9	28	7	32	10	16	11	11	12	19.45	117	84	52	20	15	6	14	38	19	3146	66	5281	2128	1
NG_007465.1	6	19	1	1	5	30	4	6	30	31	28	10.23	12	258	152	140	187	103	89	100	52	5	33	11	4	10	7	235	170	102	3.39	97	8	0
NG_007473.2	514	126	371	611	336	358	241	263	44	56	49.12	161.91	84.06	969	469	271	422	381	380	153	37	455	461	838	139	200	143	18	8	81	48	64	41	274
NG_007484.2	1082	341	749	613.4	692.86	636.05	63.16	223	1072	1263	456.97	265.39	208.47	1001	1928	2318	784.32	945	698	609	160.64	31	8	326.32	666.81	526.32	506.58	413	384	15	228	372	180	54
NG_007486.1	14	33.67	2	2359.77	695	403	1282.12	61	1547	2014	78.69	84	63.77	6	27	20	1441	1539.71	1272.36	1002	30	985	202	79	941	1114	1178.75	31.79	31	1590	204	1009.87	100	2452
NG_007488.1	79	140	41	4	16	121	8	22	82	22	32	39	22	29	2	3	97	88	60	202.73	36	98	294	17	6	2	12	23	23	44	923	805.27	198	1212
NG_007491.2	36	5	55	1	5	11	0	2	39	24	31	25	20	31	13	15	8	21	16	2	47	1	10	671.11	530.33	683.75	511.62	3	2	88	45.96	14	5	3
NG_007504.2	23	7	51	35	77	89	4	8	32	28	28	33	20	32.15	104	163	47.86	49.67	69	9	15	71	133	33	52	58	39	2	0	26	7	6.51	7	11
NG_007529.2	3393	785.65	2241.92	2827	598	566	2857.63	37.24	891	2346	2210.47	2089.81	1462.23	2912	1017	705	4466	3417	3378	161.72	1986	2416.5	2277	703	1440	2720	3017	1339	802	2016	421	644	218	1127
NG_007530.1	1446	500	709	1700	546	391	2401	1492.19	1257	2085.45	3700.81	3407	2602.93	520.92	115	28	2656.64	1822.42	1944.56	2200	104	2493	1058	790	1343	2419	2507	120	26	608.95	683	2174.39	1390	1268
NG_007551.2	16	10	9	76.77	26	39	40	6	14	9	16	11	17	47.91	17	9	13	12	7	29	67	4	38	45	39	10	29	11	13	2	82	115	111	7
NG_007560.1	76	23	54	726	596	382	169	70	85.04	14	31	42	43	13	3.86	2	26	14	11	173	11	19	168	40	9	17	29	15	7	167	99	49	13	1224
NG_007563.2	49	25	16	12	14	8	16	1	21	32	77	66	54	63	23	6	18	14	19	130	177.44	35	13	12	30	37	50	18	0	4	2	115	111	0
NG_007570.2	62	18	14	120	105	17	382	353	1988.39	2332.56	1118	977	560	689.03	792.6	701	839	985	1048	44	790	2756.1	209	654	845	724	873	19	9	16	6	62.68	29.89	1022.78
